2023-03-16 19:55:07.876035 [INFO   ] [APP] application started
2023-03-16 19:55:07.876079 [INFO   ] [APP] loading configuration from 'autotrader.json'
2023-03-16 19:55:07.876351 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-16 19:55:07.876448 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-16 19:55:07.876499 [INFO   ] [BASE] logging in with teamname='TraderOne' and secret='secret'
2023-03-16 19:55:07.876614 [DEBUG  ] [CON] 'Exec' sent 103 bytes
2023-03-16 19:55:12.301726 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:12.301759 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:12.301788 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 1000; bid prices: 146900; bid volumes: 13000
2023-03-16 19:55:12.301876 [DEBUG  ] [CON] 'Exec' sent 16 bytes
2023-03-16 19:55:12.301906 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:12.301919 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:12.301927 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 0; bid volumes: 0
2023-03-16 19:55:12.301953 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 19:55:12.301973 [DEBUG  ] [CON] 'Exec' received 57 bytes
2023-03-16 19:55:12.301983 [DEBUG  ] [CON] 'Exec' received message with type=3 and size=57
2023-03-16 19:55:12.302235 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 19:55:12.302250 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 19:55:12.543870 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:12.543905 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:12.543917 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9400; bid prices: 146900; bid volumes: 13000
2023-03-16 19:55:12.544013 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 19:55:12.544026 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:12.544032 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:12.544039 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147600; ask volumes: 10000; bid prices: 146400; bid volumes: 10000
2023-03-16 19:55:12.545395 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 19:55:12.545417 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 19:55:12.846420 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:12.846459 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:12.846474 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 10400; bid prices: 146800; bid volumes: 1740
2023-03-16 19:55:12.846581 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 19:55:12.846595 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:12.846601 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:12.846608 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147600; ask volumes: 10000; bid prices: 146400; bid volumes: 10000
2023-03-16 19:55:12.850442 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 19:55:12.850472 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 19:55:13.003297 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:13.003332 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:13.003347 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9410; bid prices: 146900; bid volumes: 3450
2023-03-16 19:55:13.003421 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-16 19:55:13.003434 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:13.003440 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-16 19:55:13.003446 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147600; ask volumes: 10000; bid prices: 146400; bid volumes: 10000
2023-03-16 19:55:13.006715 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-16 19:55:13.006735 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-16 19:55:13.094514 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-16 19:55:13.094544 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
