Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
3e-06,GemonaStreet,Tick,0,0,0,0,,,0,0,0,OK
0.276987,GemonaStreet,Tick,0,0,0,0,,,0,0,0,OK
0.525083,GemonaStreet,Tick,0,0,0,0,,,0,0,0,OK
0.710308,GemonaStreet,Tick,0,0,0,0,124200,,0,0,0,OK
0.972591,GemonaStreet,Tick,0,0,0,0,124200,,0,0,0,OK
1.2662,GemonaStreet,Tick,0,0,0,0,124200,124500,0,0,0,OK
1.510119,GemonaStreet,Tick,0,0,0,0,124200,124500,0,0,0,OK
1.799982,GemonaStreet,Tick,0,0,0,0,123800,124500,0,0,0,OK
2.017322,GemonaStreet,Tick,0,0,0,0,123800,124200,0,0,0,OK
2.202799,GemonaStreet,Tick,0,0,0,0,123600,124200,0,0,0,OK
2.465823,GemonaStreet,Tick,0,0,0,0,123600,124300,0,0,0,OK
2.712705,GemonaStreet,Tick,0,0,0,0,123600,124300,0,0,0,OK
3.036529,GemonaStreet,Tick,0,0,0,0,123600,124300,0,0,0,OK
3.253815,GemonaStreet,Tick,0,0,0,0,123600,124500,0,0,0,OK
3.528178,GemonaStreet,Tick,0,0,0,0,124700,124500,0,0,0,OK
3.720865,GemonaStreet,Tick,0,0,0,0,124700,124500,0,0,0,OK
4.003731,GemonaStreet,Tick,0,0,0,0,124700,124500,0,0,0,OK
4.235505,GemonaStreet,Tick,0,0,0,0,124700,124200,0,0,0,OK
4.467268,GemonaStreet,Tick,0,0,0,0,124800,124200,0,0,0,OK
4.752225,GemonaStreet,Tick,0,0,0,0,124800,124200,0,0,0,OK
4.953062,GemonaStreet,Tick,0,0,0,0,124800,124200,0,0,0,OK
5.249531,GemonaStreet,Tick,0,0,0,0,124800,124100,0,0,0,OK
5.525916,GemonaStreet,Tick,0,0,0,0,124800,124100,0,0,0,OK
5.791795,GemonaStreet,Tick,0,0,0,0,124800,124100,0,0,0,OK
6.025129,GemonaStreet,Tick,0,0,0,0,124700,124100,0,0,0,OK
6.215182,GemonaStreet,Tick,0,0,0,0,124700,124100,0,0,0,OK
6.531142,GemonaStreet,Tick,0,0,0,0,124700,124100,0,0,0,OK
6.745603,GemonaStreet,Tick,0,0,0,0,124700,124100,0,0,0,OK
6.964536,GemonaStreet,Tick,0,0,0,0,124700,124100,0,0,0,OK
7.224369,GemonaStreet,Tick,0,0,0,0,124700,124100,0,0,0,OK
7.494061,GemonaStreet,Tick,0,0,0,0,124700,124100,0,0,0,OK
7.769655,GemonaStreet,Tick,0,0,0,0,124700,124100,0,0,0,OK
8.030171,GemonaStreet,Tick,0,0,0,0,124700,124200,0,0,0,OK
8.204146,GemonaStreet,Tick,0,0,0,0,124700,124400,0,0,0,OK
8.548099,GemonaStreet,Tick,0,0,0,0,124700,124400,0,0,0,OK
8.723475,GemonaStreet,Tick,0,0,0,0,124700,124400,0,0,0,OK
9.016697,GemonaStreet,Tick,0,0,0,0,124700,124400,0,0,0,OK
9.272406,GemonaStreet,Tick,0,0,0,0,124700,124400,0,0,0,OK
9.475248,GemonaStreet,Tick,0,0,0,0,125000,124400,0,0,0,OK
9.795527,GemonaStreet,Tick,0,0,0,0,125000,124400,0,0,0,OK
10.034283,GemonaStreet,Tick,0,0,0,0,125000,124400,0,0,0,OK
10.257378,GemonaStreet,Tick,0,0,0,0,125000,124300,0,0,0,OK
10.451722,GemonaStreet,Tick,0,0,0,0,125000,124400,0,0,0,OK
10.700854,GemonaStreet,Tick,0,0,0,0,125000,124400,0,0,0,OK
11.021102,GemonaStreet,Tick,0,0,0,0,125000,124300,0,0,0,OK
11.268936,GemonaStreet,Tick,0,0,0,0,125000,124300,0,0,0,OK
11.455432,GemonaStreet,Tick,0,0,0,0,125000,124300,0,0,0,OK
11.741725,GemonaStreet,Tick,0,0,0,0,125000,124300,0,0,0,OK
11.991864,GemonaStreet,Tick,0,0,0,0,124100,124300,0,0,0,OK
12.248752,GemonaStreet,Tick,0,0,0,0,124100,124300,0,0,0,OK
12.473855,GemonaStreet,Tick,0,0,0,0,124100,124300,0,0,0,OK
12.718996,GemonaStreet,Tick,0,0,0,0,124100,124300,0,0,0,OK
13.011779,GemonaStreet,Tick,0,0,0,0,124100,124000,0,0,0,OK
13.231191,GemonaStreet,Tick,0,0,0,0,123900,124000,0,0,0,OK
13.514706,GemonaStreet,Tick,0,0,0,0,123900,124000,0,0,0,OK
13.764208,GemonaStreet,Tick,0,0,0,0,124500,124000,0,0,0,OK
13.989428,GemonaStreet,Tick,0,0,0,0,124500,124000,0,0,0,OK
14.248619,GemonaStreet,Tick,0,0,0,0,124500,124000,0,0,0,OK
14.547788,GemonaStreet,Tick,0,0,0,0,124500,123900,0,0,0,OK
14.794675,GemonaStreet,Tick,0,0,0,0,124500,123900,0,0,0,OK
14.984913,GemonaStreet,Tick,0,0,0,0,124500,123900,0,0,0,OK
15.299718,GemonaStreet,Tick,0,0,0,0,123900,123900,0,0,0,OK
15.525026,GemonaStreet,Tick,0,0,0,0,123900,123900,0,0,0,OK
15.777164,GemonaStreet,Tick,0,0,0,0,123900,123900,0,0,0,OK
15.972938,GemonaStreet,Tick,0,0,0,0,123900,123900,0,0,0,OK
16.296509,GemonaStreet,Tick,0,0,0,0,123900,123900,0,0,0,OK
16.47942,GemonaStreet,Tick,0,0,0,0,123900,123700,0,0,0,OK
16.709445,GemonaStreet,Tick,0,0,0,0,123900,123700,0,0,0,OK
16.978128,GemonaStreet,Tick,0,0,0,0,123900,123700,0,0,0,OK
17.287767,GemonaStreet,Tick,0,0,0,0,123900,123700,0,0,0,OK
17.531853,GemonaStreet,Tick,0,0,0,0,123900,123700,0,0,0,OK
17.750376,GemonaStreet,Tick,0,0,0,0,123900,123700,0,0,0,OK
18.019474,GemonaStreet,Tick,0,0,0,0,124400,123700,0,0,0,OK
18.206474,GemonaStreet,Tick,0,0,0,0,124400,123700,0,0,0,OK
18.529552,GemonaStreet,Tick,0,0,0,0,124400,123700,0,0,0,OK
18.773944,GemonaStreet,Tick,0,0,0,0,124400,123700,0,0,0,OK
18.979378,GemonaStreet,Tick,0,0,0,0,124400,123700,0,0,0,OK
19.20584,GemonaStreet,Tick,0,0,0,0,124400,123800,0,0,0,OK
19.455799,GemonaStreet,Tick,0,0,0,0,124400,123800,0,0,0,OK
19.781701,GemonaStreet,Tick,0,0,0,0,124400,123800,0,0,0,OK
19.96438,GemonaStreet,Tick,0,0,0,0,124400,123800,0,0,0,OK
20.204327,GemonaStreet,Tick,0,0,0,0,124400,123800,0,0,0,OK
20.50976,GemonaStreet,Tick,0,0,0,0,124400,123800,0,0,0,OK
20.758029,GemonaStreet,Tick,0,0,0,0,124400,123800,0,0,0,OK
20.979057,GemonaStreet,Tick,7,0,7,0,123900,123800,-87,-868613,-1313,OK
21.25713,GemonaStreet,Tick,7,0,7,0,123900,123900,-87,-868613,-1313,OK
21.451832,GemonaStreet,Tick,7,0,7,0,123900,123900,-87,-868613,-1313,OK
21.755245,GemonaStreet,Tick,7,0,7,0,123900,123900,-87,-868613,-1313,OK
22.005966,GemonaStreet,Tick,7,7,0,0,124200,123900,-174,874,874,OK
22.219159,GemonaStreet,Tick,7,7,0,0,124200,123900,-174,874,874,OK
22.500355,GemonaStreet,Tick,7,7,0,0,124200,123900,-174,874,874,OK
22.710864,GemonaStreet,Tick,7,21,-14,0,124400,123900,-348,1741248,3848,OK
22.975425,GemonaStreet,Tick,7,21,-14,6,124400,123900,-348,995448,1448,OK
23.229448,GemonaStreet,Tick,7,21,-14,6,124400,123900,-348,995448,1448,OK
23.461117,GemonaStreet,Tick,7,28,-21,6,124800,123900,-435,1867735,5035,OK
23.730002,GemonaStreet,Disconnect,7,35,-28,13,124800,124200,-522,1870622,2022,
